Cohort,Block,Position,Pop,Rep,Germ date,Notes
1,3,E_20,STGL1,1,2020-09-24,
1,3,F_01,CAAM-GB,12,,
1,3,F_02,blank,4,,
1,3,F_03,STBR3,6,2020-10-28,
1,3,F_04,STBR3,4,2020-09-24,
1,3,F_05,CAAN2,5,,
1,3,F_06,CAAN1,14,,seed bounced out
1,3,F_07,STDR2,12,2020-09-21,
1,3,F_08,STDR2,11,2020-10-05,
1,3,F_09,STGL1,16,,
1,3,F_10,CAAM-GB,2,,
1,3,F_11,STGL1,14,2020-09-22,
1,3,F_12,STTO-BH,6,,
1,3,F_13,CAIN3,7,2020-09-24,cotyledons stuck in sand
1,3,F_14,STIN,6,,
1,3,F_15,STGL1,7,,
1,3,F_16,STGL1,3,2020-09-24,
1,3,F_17,blank,2,,iButton in this blank 
1,3,F_18,STBR3,14,2020-09-22,
1,3,F_19,STDI,2,,
1,3,F_20,CAAM-GB,6,,
1,3,G_01,CAAM-GB,16,,
1,3,G_02,CAIN4,12,2020-09-22,
1,3,G_03,STPO1,1,2020-09-23,
1,3,G_04,STPO1,15,2020-09-21,
1,3,G_05,CAIN4,11,2020-09-20,
1,3,G_06,STDI,10,2020-09-20,
1,3,G_07,CAIN4,13,2020-09-22,
1,3,G_08,CAAN1,13,2020-09-22,
1,3,G_09,STDI,6,2020-09-21,
1,3,G_10,CAAN1,12,,
1,3,G_11,CAIN4,3,2020-09-21,
1,3,G_12,STIN,16,,
1,3,G_13,STDR2,15,2020-09-26,
1,3,G_14,STTO-BH,3,2020-09-20,
1,3,G_15,STDR2,10,2020-09-22,
1,3,G_16,CAIN4,4,,
1,3,G_17,STIN,11,,
1,3,G_18,STBR3,11,2020-09-29,
1,3,G_19,CAAN1,10,,
1,3,G_20,CAAN2,6,,
1,3,H_01,STTO-BH,8,2020-09-20,
1,3,H_02,STDR2,7,2020-10-11,
1,3,H_03,STPO1,12,2020-09-21,
1,3,H_04,STTO-BH,15,2020-09-21,
1,3,H_05,STDI,14,2020-09-20,
1,3,H_06,STIN,4,2020-09-21,
1,3,H_07,STBR3,10,2020-09-23,
1,3,H_08,STTO-BH,16,2020-09-20,3 cotyledons!
1,3,H_09,CAIN4,8,2020-09-21,
1,3,H_10,STIN,3,2020-09-22,
1,3,H_11,CAIN3,13,,
1,3,H_12,STIN,9,2020-09-21,
1,3,H_13,STBR3,3,2020-09-24,
1,3,H_14,STTO-BH,11,2020-09-22,
1,3,H_15,CAIN3,5,,
1,3,H_16,STBR3,8,2020-09-22,
1,3,H_17,blank,1,,
1,3,H_18,STTO-BH,7,2020-09-22,
1,3,H_19,STPO1,6,,
1,3,H_20,STDR2,3,2020-09-22,
1,3,I_01,CAAN2,7,,
1,3,I_02,CAAN2,3,,
1,3,I_03,CAAN2,10,,
1,3,I_04,CAAN2,16,,
1,3,I_05,CAAM-GB,11,,
1,3,I_06,STGL1,9,,
1,3,I_07,STGL1,5,2020-09-24,
1,3,I_08,STPO1,9,,
1,3,I_09,CACO1,1,,
1,3,I_10,CAAN2,2,,
1,3,I_11,STDI,11,,
1,3,I_12,STPO1,14,2020-09-21,
1,3,I_13,CAAN1,6,,
1,3,I_14,CAAN2,1,,
1,3,I_15,STIN,7,2020-09-21,
1,3,I_16,STTO-BH,1,2020-09-21,
1,3,I_17,STGL1,4,2020-09-22,
1,3,I_18,CAAN1,5,,
1,3,I_19,STBR3,12,2020-09-26,
1,3,I_20,CAAN1,7,2020-09-22,
1,3,J_01,STIN,14,2020-09-22,
1,3,J_02,CAAN2,15,,
1,3,J_03,STDR2,16,2020-10-29,10/30 put in toothpick
1,3,J_04,STDI,4,,
1,3,J_05,CAIN3,2,2020-09-25,
1,3,J_06,STDI,16,,
1,3,J_07,STIN,10,2020-09-22,
1,3,J_08,STIN,15,,
1,3,J_09,STGL1,15,,
1,3,J_10,STBR3,7,2020-09-24,
1,3,J_11,CAAN2,4,,
1,3,J_12,CAAM-GB,8,,
1,3,J_13,STTO-BH,13,2020-09-20,
1,3,J_14,CAAN2,13,,
1,3,J_15,STDI,5,2020-09-20,
1,3,J_16,STPO1,2,2020-09-21,
1,3,J_17,STDR2,5,2020-09-28,
1,3,J_18,STDR2,14,2020-11-01,
1,3,J_19,CAAN2,11,,
1,3,J_20,STPO1,11,2020-09-21,
2,1,A_01,CAAN1,14,,
2,1,A_02,STGL1,8,2020-10-10,
2,1,A_03,CAIN3,14,,
2,1,A_04,STPO1,9,2020-10-08,
2,1,A_05,STGL1,7,2020-10-12,
2,1,A_06,STIN,8,,
2,1,A_07,CAIN4,16,2020-10-08,
2,1,A_08,STBR3,8,2020-10-11,
2,1,A_09,STDI,12,2020-10-05,
2,1,A_10,CAAN1,3,2020-10-08,
2,1,A_11,CAAN2,8,,
2,1,A_12,STGL1,4,2020-10-08,
2,1,A_13,CAIN3,6,2020-10-05,
2,1,A_14,STTO-BH,8,2020-10-05,sm seed 
2,1,A_15,STDI,16,2020-10-05,
2,1,A_16,STBR3,11,2020-10-07,
2,1,A_17,STDI,10,,
2,1,A_18,CAAN2,7,2020-10-07,
2,1,A_19,CAIN3,16,2020-10-06,
2,1,A_20,STBR3,6,2020-10-20,
2,1,B_01,CAIN4,7,2020-10-12,growing behind tag
2,1,B_02,STIN,9,2020-10-08,
2,1,B_03,CAAM-GB,12,,
2,1,B_04,CAAN2,13,,
2,1,B_05,STDR2,11,,
2,1,B_06,CAAN1,12,,
2,1,B_07,STDR2,6,,
2,1,B_08,STTO-BH,6,,
2,1,B_09,STDR2,16,,
2,1,B_10,CAIN3,7,2020-10-08,
2,1,B_11,CAIN4,12,2020-10-08,
2,1,B_12,CACO1,2,2020-10-06,
2,1,B_13,CAAN1,9,,
2,1,B_14,STTO-BH,2,,
2,1,B_15,STIN,6,,
2,1,B_16,STGL1,12,2020-10-07,
2,1,B_17,STPO1,1,2020-10-07,
2,1,B_18,STPO1,3,2020-10-06,
2,1,B_19,CAAN2,3,,
2,1,B_20,STDI,15,2020-10-05,
2,1,C_01,CAAN1,11,,
2,1,C_02,STBR3,14,,
2,1,C_03,CAIN3,13,2020-10-08,
2,1,C_04,STIN,13,2020-10-07,
2,1,C_05,STBR3,15,2020-10-10,
2,1,C_06,STGL1,10,2020-10-08,
2,1,C_07,STDR2,7,2020-10-07,
2,1,C_08,CAAM-GB,4,,
2,1,C_09,CAAM-GB,14,,
2,1,C_10,STBR3,16,2020-10-09,
2,1,C_11,CAIN4,5,,
2,1,C_12,STPO1,2,,
