"","Cohort","Block","Position","Pop","Rep","germdate","Notes","plantdate","germjul","plantjul","days2germ","plantSep","germSep","days2germ2","planted","germinated","mean.Temp","mean.Min.Temp","mean.Max.Temp","Topt"
"140",1,1,"G_20","STPO1",9,2020-09-21,"",2020-09-17,265,261,4,16,20,4,1,1,20.32874617737,15,28.4,21.46575374
"141",1,1,"H_01","CAAN2",14,NA,"",2020-09-17,NA,261,NA,16,NA,NA,1,0,NA,NA,NA,30.49216534
"142",1,1,"H_02","CAIN4",2,NA,"",2020-09-17,NA,261,NA,16,NA,NA,1,0,NA,NA,NA,36.46572848
"143",1,1,"H_03","STPO1",14,2020-09-21,"",2020-09-17,265,261,4,16,20,4,1,1,20.32874617737,15,28.4,21.46575374
"144",1,1,"H_04","STDR2",14,2020-10-07,"",2020-09-17,281,261,20,16,36,20,1,1,20.8615096693699,14.4761904761905,29.6904761904762,26.75027797
"145",1,1,"H_05","STBR3",13,2020-09-26,"",2020-09-17,270,261,9,16,25,9,1,1,20.5043668122271,14.4,29.1,36.4851957
"146",1,1,"H_06","STPO1",13,2020-09-21,"",2020-09-17,265,261,4,16,20,4,1,1,20.32874617737,15,28.4,21.46575374
"147",1,1,"H_07","CACO1",2,2020-09-22,"",2020-09-17,266,261,5,16,21,5,1,1,20.3508771929825,15,28.4166666666667,25.45463261
"148",1,1,"H_08","STGL1",5,2020-09-26,"",2020-09-17,270,261,9,16,25,9,1,1,20.5043668122271,14.4,29.1,25.95117404
"149",1,1,"H_09","STIN",13,NA,"",2020-09-17,NA,261,NA,16,NA,NA,1,0,NA,NA,NA,25.92210573
"150",1,1,"H_10","STPO1",3,2020-09-21,"",2020-09-17,265,261,4,16,20,4,1,1,20.32874617737,15,28.4,21.46575374
"151",1,1,"H_11","STBR3",16,2020-09-24,"",2020-09-17,268,261,7,16,23,7,1,1,20.4364640883978,14.625,28.8125,36.4851957
"152",1,1,"H_12","CAIN4",9,2020-09-21,"",2020-09-17,265,261,4,16,20,4,1,1,20.32874617737,15,28.4,36.46572848
"153",1,1,"H_13","CAAN2",6,NA,"",2020-09-17,NA,261,NA,16,NA,NA,1,0,NA,NA,NA,30.49216534
"154",1,1,"H_14","STDI",15,2020-09-21,"",2020-09-17,265,261,4,16,20,4,1,1,20.32874617737,15,28.4,29.11518968
"155",1,1,"H_15","CAAN1",7,2020-09-21,"",2020-09-17,265,261,4,16,20,4,1,1,20.32874617737,15,28.4,22.29586622
"156",1,1,"H_16","CAAN2",9,NA,"",2020-09-17,NA,261,NA,16,NA,NA,1,0,NA,NA,NA,30.49216534
"157",1,1,"H_17","STTO-BH",9,2020-09-21,"",2020-09-17,265,261,4,16,20,4,1,1,20.32874617737,15,28.4,21.4389966
"158",1,1,"H_18","STIN",3,NA,"",2020-09-17,NA,261,NA,16,NA,NA,1,0,NA,NA,NA,25.92210573
"159",1,1,"H_19","STPO1",4,2020-09-21,"",2020-09-17,265,261,4,16,20,4,1,1,20.32874617737,15,28.4,21.46575374
"160",1,1,"H_20","STDR2",16,2020-09-21,"",2020-09-17,265,261,4,16,20,4,1,1,20.32874617737,15,28.4,26.75027797
"161",1,1,"I_01","CAAM-GB",9,NA,"",2020-09-17,NA,261,NA,16,NA,NA,1,0,NA,NA,NA,12.17705163
"162",1,1,"I_02","STDI",2,2020-09-20,"",2020-09-17,264,261,3,16,19,3,1,1,20.5019607843137,15.25,28.75,29.11518968
"163",1,1,"I_03","STBR3",7,2020-10-06,"",2020-09-17,280,261,19,16,35,19,1,1,21.0552933243425,14.575,29.8,36.4851957
"164",1,1,"I_04","STDI",1,NA,"",2020-09-17,NA,261,NA,16,NA,NA,1,0,NA,NA,NA,29.11518968
"165",1,1,"I_05","STDI",10,2020-09-23,"",2020-09-17,267,261,6,16,22,6,1,1,20.3089171974522,14.6428571428571,28.5,29.11518968
"166",1,1,"I_06","CAIN3",4,2020-09-24,"",2020-09-17,268,261,7,16,23,7,1,1,20.4364640883978,14.625,28.8125,30.61272267
"167",1,1,"I_07","CAAN1",2,2020-09-21,"",2020-09-17,265,261,4,16,20,4,1,1,20.32874617737,15,28.4,22.29586622
"168",1,1,"I_08","CAIN3",14,2020-09-22,"",2020-09-17,266,261,5,16,21,5,1,1,20.3508771929825,15,28.4166666666667,30.61272267
"169",1,1,"I_09","STGL1",16,NA,"",2020-09-17,NA,261,NA,16,NA,NA,1,0,NA,NA,NA,25.95117404
"170",1,1,"I_10","STGL1",4,NA,"",2020-09-17,NA,261,NA,16,NA,NA,1,0,NA,NA,NA,25.95117404
"171",1,1,"I_11","STDR2",7,2020-09-23,"",2020-09-17,267,261,6,16,22,6,1,1,20.3089171974522,14.6428571428571,28.5,26.75027797
"172",1,1,"I_12","STBR3",9,2020-09-23,"",2020-09-17,267,261,6,16,22,6,1,1,20.3089171974522,14.6428571428571,28.5,36.4851957
"173",1,1,"I_13","CAIN3",8,2020-09-21,"",2020-09-17,265,261,4,16,20,4,1,1,20.32874617737,15,28.4,30.61272267
"174",1,1,"I_14","CAAN1",1,2020-09-21,"",2020-09-17,265,261,4,16,20,4,1,1,20.32874617737,15,28.4,22.29586622
"175",1,1,"I_15","STGL1",15,2020-09-28,"",2020-09-17,272,261,11,16,27,11,1,1,21.1799037304453,15.0416666666667,29.9166666666667,25.95117404
"176",1,1,"I_16","STIN",7,2020-09-21,"",2020-09-17,265,261,4,16,20,4,1,1,20.32874617737,15,28.4,25.92210573
"177",1,1,"I_17","STBR3",15,2020-09-23,"",2020-09-17,267,261,6,16,22,6,1,1,20.3089171974522,14.6428571428571,28.5,36.4851957
"178",1,1,"I_18","STGL1",8,2020-09-23,"",2020-09-17,267,261,6,16,22,6,1,1,20.3089171974522,14.6428571428571,28.5,25.95117404
"179",1,1,"I_19","CAIN4",15,2020-10-04,"",2020-09-17,278,261,17,16,33,17,1,1,21.2751385589865,14.8888888888889,29.8333333333333,36.46572848
"180",1,1,"I_20","STDR2",12,2020-10-10,"",2020-09-17,284,261,23,16,39,23,1,1,20.1237901171676,14.0833333333333,29.0208333333333,26.75027797
"181",1,1,"J_01","STBR3",6,NA,"",2020-09-17,NA,261,NA,16,NA,NA,1,0,NA,NA,NA,36.4851957
"182",1,1,"J_02","STBR3",10,2020-09-26,"",2020-09-17,270,261,9,16,25,9,1,1,20.5043668122271,14.4,29.1,36.4851957
"183",1,1,"J_03","STDI",13,2020-09-20,"",2020-09-17,264,261,3,16,19,3,1,1,20.5019607843137,15.25,28.75,29.11518968
"184",1,1,"J_04","STDR2",5,2020-11-05,"",2020-09-17,310,261,49,16,65,49,1,1,17.222341954023,11.83,27.03,26.75027797
"185",1,1,"J_05","CAAN1",6,NA,"",2020-09-17,NA,261,NA,16,NA,NA,1,0,NA,NA,NA,22.29586622
"186",1,1,"J_06","CAAN2",2,NA,"",2020-09-17,NA,261,NA,16,NA,NA,1,0,NA,NA,NA,30.49216534
"187",1,1,"J_07","STGL1",14,NA,"",2020-09-17,NA,261,NA,16,NA,NA,1,0,NA,NA,NA,25.95117404
"188",1,1,"J_08","CAAM-GB",2,NA,"seed spill! Probably more than 1 seed",2020-09-17,NA,261,NA,16,NA,NA,1,0,NA,NA,NA,12.17705163
