"Date.Time","Unit","temp","cohort","block","hour","minute","Date"
2020-09-24 15:56:00,"C",29.5,1,1,15,56,2020-09-24
2020-09-24 16:56:00,"C",28.5,1,1,16,56,2020-09-24
2020-09-24 17:56:00,"C",27.5,1,1,17,56,2020-09-24
2020-09-24 18:56:00,"C",25,1,1,18,56,2020-09-24
2020-09-24 19:56:00,"C",23,1,1,19,56,2020-09-24
2020-09-24 20:56:00,"C",21,1,1,20,56,2020-09-24
2020-09-24 21:56:00,"C",19.5,1,1,21,56,2020-09-24
2020-09-24 22:56:00,"C",18.5,1,1,22,56,2020-09-24
2020-09-24 23:56:00,"C",17.5,1,1,23,56,2020-09-24
2020-09-25 00:56:00,"C",16.5,1,1,0,56,2020-09-25
2020-09-25 01:56:00,"C",15.5,1,1,1,56,2020-09-25
2020-09-25 02:56:00,"C",15,1,1,2,56,2020-09-25
2020-09-25 03:56:00,"C",14.5,1,1,3,56,2020-09-25
2020-09-25 04:56:00,"C",14,1,1,4,56,2020-09-25
2020-09-25 05:56:00,"C",13.5,1,1,5,56,2020-09-25
2020-09-25 06:56:00,"C",13,1,1,6,56,2020-09-25
2020-09-25 07:56:00,"C",12.5,1,1,7,56,2020-09-25
2020-09-25 08:56:00,"C",14,1,1,8,56,2020-09-25
2020-09-25 09:56:00,"C",19,1,1,9,56,2020-09-25
2020-09-25 10:56:00,"C",22.5,1,1,10,56,2020-09-25
2020-09-25 11:56:00,"C",23,1,1,11,56,2020-09-25
2020-09-25 12:56:00,"C",26.5,1,1,12,56,2020-09-25
2020-09-25 13:56:00,"C",28.5,1,1,13,56,2020-09-25
2020-09-25 14:56:00,"C",29,1,1,14,56,2020-09-25
2020-09-25 15:56:00,"C",28,1,1,15,56,2020-09-25
2020-09-25 16:56:00,"C",27.5,1,1,16,56,2020-09-25
2020-09-25 17:56:00,"C",27,1,1,17,56,2020-09-25
2020-09-25 18:56:00,"C",24.5,1,1,18,56,2020-09-25
2020-09-25 19:56:00,"C",23,1,1,19,56,2020-09-25
2020-09-25 20:56:00,"C",21.5,1,1,20,56,2020-09-25
2020-09-25 21:56:00,"C",20,1,1,21,56,2020-09-25
2020-09-25 22:56:00,"C",19,1,1,22,56,2020-09-25
2020-09-25 23:56:00,"C",18,1,1,23,56,2020-09-25
2020-09-26 00:56:00,"C",17,1,1,0,56,2020-09-26
2020-09-26 01:56:00,"C",16.5,1,1,1,56,2020-09-26
2020-09-26 02:56:00,"C",16,1,1,2,56,2020-09-26
2020-09-26 03:56:00,"C",15.5,1,1,3,56,2020-09-26
2020-09-26 04:56:00,"C",15,1,1,4,56,2020-09-26
2020-09-26 05:56:00,"C",14.5,1,1,5,56,2020-09-26
2020-09-26 06:56:00,"C",14.5,1,1,6,56,2020-09-26
2020-09-26 07:56:00,"C",14.5,1,1,7,56,2020-09-26
2020-09-26 08:56:00,"C",16,1,1,8,56,2020-09-26
2020-09-26 09:56:00,"C",21,1,1,9,56,2020-09-26
2020-09-26 10:56:00,"C",24.5,1,1,10,56,2020-09-26
2020-09-26 11:56:00,"C",24.5,1,1,11,56,2020-09-26
2020-09-26 12:56:00,"C",28,1,1,12,56,2020-09-26
2020-09-26 13:56:00,"C",29.5,1,1,13,56,2020-09-26
2020-09-26 14:56:00,"C",29.5,1,1,14,56,2020-09-26
2020-09-26 15:56:00,"C",27,1,1,15,56,2020-09-26
2020-09-26 16:56:00,"C",27,1,1,16,56,2020-09-26
2020-09-26 17:56:00,"C",26.5,1,1,17,56,2020-09-26
2020-09-26 18:56:00,"C",24.5,1,1,18,56,2020-09-26
2020-09-26 19:56:00,"C",23,1,1,19,56,2020-09-26
2020-09-26 20:56:00,"C",22,1,1,20,56,2020-09-26
2020-09-26 21:56:00,"C",20.5,1,1,21,56,2020-09-26
2020-09-26 22:56:00,"C",20,1,1,22,56,2020-09-26
2020-09-26 23:56:00,"C",20,1,1,23,56,2020-09-26
2020-09-27 00:56:00,"C",21.5,1,1,0,56,2020-09-27
2020-09-27 01:56:00,"C",21.5,1,1,1,56,2020-09-27
2020-09-27 02:56:00,"C",21.5,1,1,2,56,2020-09-27
2020-09-27 03:56:00,"C",20.5,1,1,3,56,2020-09-27
2020-09-27 04:56:00,"C",20,1,1,4,56,2020-09-27
2020-09-27 05:56:00,"C",19.5,1,1,5,56,2020-09-27
2020-09-27 06:56:00,"C",19,1,1,6,56,2020-09-27
2020-09-27 07:56:00,"C",18,1,1,7,56,2020-09-27
2020-09-27 08:56:00,"C",19.5,1,1,8,56,2020-09-27
2020-09-27 09:56:00,"C",22.5,1,1,9,56,2020-09-27
2020-09-27 10:56:00,"C",25,1,1,10,56,2020-09-27
2020-09-27 11:56:00,"C",25.5,1,1,11,56,2020-09-27
2020-09-27 12:56:00,"C",28.5,1,1,12,56,2020-09-27
2020-09-27 13:56:00,"C",30.5,1,1,13,56,2020-09-27
2020-09-27 14:56:00,"C",31,1,1,14,56,2020-09-27
2020-09-27 15:56:00,"C",29,1,1,15,56,2020-09-27
2020-09-27 16:56:00,"C",29.5,1,1,16,56,2020-09-27
2020-09-27 17:56:00,"C",29,1,1,17,56,2020-09-27
2020-09-27 18:56:00,"C",27,1,1,18,56,2020-09-27
2020-09-27 19:56:00,"C",25,1,1,19,56,2020-09-27
2020-09-27 20:56:00,"C",23.5,1,1,20,56,2020-09-27
2020-09-27 21:56:00,"C",23,1,1,21,56,2020-09-27
2020-09-27 22:56:00,"C",22,1,1,22,56,2020-09-27
2020-09-27 23:56:00,"C",21.5,1,1,23,56,2020-09-27
2020-09-28 00:56:00,"C",20.5,1,1,0,56,2020-09-28
2020-09-28 01:56:00,"C",20,1,1,1,56,2020-09-28
2020-09-28 02:56:00,"C",20,1,1,2,56,2020-09-28
2020-09-28 03:56:00,"C",20.5,1,1,3,56,2020-09-28
2020-09-28 04:56:00,"C",20.5,1,1,4,56,2020-09-28
2020-09-28 05:56:00,"C",20,1,1,5,56,2020-09-28
2020-09-28 06:56:00,"C",20,1,1,6,56,2020-09-28
2020-09-28 07:56:00,"C",18.5,1,1,7,56,2020-09-28
2020-09-28 08:56:00,"C",20.5,1,1,8,56,2020-09-28
2020-09-28 09:56:00,"C",25,1,1,9,56,2020-09-28
2020-09-28 10:56:00,"C",26.5,1,1,10,56,2020-09-28
2020-09-28 11:56:00,"C",26.5,1,1,11,56,2020-09-28
2020-09-28 12:56:00,"C",30.5,1,1,12,56,2020-09-28
2020-09-28 13:56:00,"C",31.5,1,1,13,56,2020-09-28
2020-09-28 14:56:00,"C",32,1,1,14,56,2020-09-28
2020-09-28 15:56:00,"C",30,1,1,15,56,2020-09-28
2020-09-28 16:56:00,"C",30.5,1,1,16,56,2020-09-28
2020-09-28 17:56:00,"C",29.5,1,1,17,56,2020-09-28
2020-09-28 18:56:00,"C",25.5,1,1,18,56,2020-09-28
2020-09-28 19:56:00,"C",24,1,1,19,56,2020-09-28
2020-09-28 20:56:00,"C",22.5,1,1,20,56,2020-09-28
2020-09-28 21:56:00,"C",21,1,1,21,56,2020-09-28
2020-09-28 22:56:00,"C",19.5,1,1,22,56,2020-09-28
2020-09-28 23:56:00,"C",18.5,1,1,23,56,2020-09-28
2020-09-29 00:56:00,"C",17.5,1,1,0,56,2020-09-29
2020-09-29 01:56:00,"C",17,1,1,1,56,2020-09-29
2020-09-29 02:56:00,"C",16,1,1,2,56,2020-09-29
2020-09-29 03:56:00,"C",16,1,1,3,56,2020-09-29
2020-09-29 04:56:00,"C",15.5,1,1,4,56,2020-09-29
2020-09-29 05:56:00,"C",15,1,1,5,56,2020-09-29
2020-09-29 06:56:00,"C",14.5,1,1,6,56,2020-09-29
2020-09-29 07:56:00,"C",14,1,1,7,56,2020-09-29
2020-09-29 08:56:00,"C",15.5,1,1,8,56,2020-09-29
2020-09-29 09:56:00,"C",19.5,1,1,9,56,2020-09-29
2020-09-29 10:56:00,"C",23.5,1,1,10,56,2020-09-29
2020-09-29 11:56:00,"C",24,1,1,11,56,2020-09-29
2020-09-29 12:56:00,"C",27.5,1,1,12,56,2020-09-29
2020-09-29 13:56:00,"C",30.5,1,1,13,56,2020-09-29
2020-09-29 14:56:00,"C",31.5,1,1,14,56,2020-09-29
2020-09-29 15:56:00,"C",28,1,1,15,56,2020-09-29
2020-09-29 16:56:00,"C",27.5,1,1,16,56,2020-09-29
2020-09-29 17:56:00,"C",26.5,1,1,17,56,2020-09-29
2020-09-29 18:56:00,"C",25,1,1,18,56,2020-09-29
2020-09-29 19:56:00,"C",23.5,1,1,19,56,2020-09-29
