"","Population","Cohort","Old.Block","Old.Replicate","New.Block","New.Position","germdate","Notes","plantdate","germjul","plantjul","days2germ","plantSep","germSep","days2germ2","planted","germinated","water.date","RegermSep","Redays2germ","mean.Temp"
"63","CAAN2",4,1,16,8,"B_07",2021-09-24,"","2020-10-30",267,304,329,59,388,329,1,1,2021-09-15,9,9,22.3579166666667
"64","CAIN3",2,3,5,9,"F_07",2021-09-24,"P","2020-10-02",267,276,357,31,388,357,1,1,2021-09-15,9,9,22.3579166666667
"65","STGL1",6,3,14,1,"G_16",2021-09-24,"P 10/7/21","2020-11-27",267,332,301,87,388,301,1,1,2021-09-15,9,9,22.3579166666667
"66","STPO1",5,1,9,2,"D_13",2021-09-24,"","2020-11-13",267,318,315,73,388,315,1,1,2021-09-15,9,9,22.3579166666667
"67","CAIN3",5,1,14,2,"F_04",2021-09-24,"P 10/7","2020-11-13",267,318,315,73,388,315,1,1,2021-09-15,9,9,22.3579166666667
"68","CAIN3",7,1,14,4,"F_10",2021-09-24,"","2020-12-11",267,346,287,101,388,287,1,1,2021-09-15,9,9,22.3579166666667
"69","CAIN3",7,1,1,4,"I_07",2021-09-24,"P 10/7","2020-12-11",267,346,287,101,388,287,1,1,2021-09-15,9,9,22.3579166666667
"70","CAAN2",4,1,5,4,"I_08",2021-09-24,"P 10/7","2020-10-30",267,304,329,59,388,329,1,1,2021-09-15,9,9,22.3579166666667
"71","CAAN2",1,1,13,3,"B_06",2021-09-24,"","2020-09-17",267,261,372,16,388,372,1,1,2021-09-15,9,9,22.3579166666667
"72","CAAN2",3,1,1,3,"B_10",2021-09-24,"P 10/7","2020-10-16",267,290,343,45,388,343,1,1,2021-09-15,9,9,22.3579166666667
"73","STGL1",7,1,7,3,"C_09",2021-09-24,"P 10/7","2020-12-11",267,346,287,101,388,287,1,1,2021-09-15,9,9,22.3579166666667
"74","CAAN1",7,2,8,3,"E_08",2021-09-24,"","2020-12-11",267,346,287,101,388,287,1,1,2021-09-15,9,9,22.3579166666667
"75","CAAN1",3,3,12,3,"H_10",2021-09-24,"P 10/7","2020-10-16",267,290,343,45,388,343,1,1,2021-09-15,9,9,22.3579166666667
"76","CAIN4",2,2,9,11,"A_13",2021-09-24,"P 10/7","2020-10-02",267,276,357,31,388,357,1,1,2021-09-15,9,9,22.3579166666667
"77","CAAN1",2,2,12,11,"C_09",2021-09-24,"","2020-10-02",267,276,357,31,388,357,1,1,2021-09-15,9,9,22.3579166666667
"78","STGL1",6,2,5,11,"D_18",2021-09-24,"P 10/7","2020-11-27",267,332,301,87,388,301,1,1,2021-09-15,9,9,22.3579166666667
"79","CAAN1",6,1,15,11,"E_18",2021-09-24,"P 10/7","2020-11-27",267,332,301,87,388,301,1,1,2021-09-15,9,9,22.3579166666667
"80","STIN",4,1,14,11,"I_13",2021-09-24,"","2020-10-30",267,304,329,59,388,329,1,1,2021-09-15,9,9,22.3579166666667
"81","STGL1",6,1,5,12,"B_09",2021-09-24,"P 10/7","2020-11-27",267,332,301,87,388,301,1,1,2021-09-15,9,9,22.3579166666667
"82","CAAN2",2,2,9,12,"G_18",2021-09-24,"","2020-10-02",267,276,357,31,388,357,1,1,2021-09-15,9,9,22.3579166666667
"83","STIN",7,3,5,10,"B_16",2021-09-24,"","2020-12-11",267,346,287,101,388,287,1,1,2021-09-15,9,9,22.3579166666667
